O'CONNOR,O'Connor Cooperative School,Black Mountain School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,,,
TAMWORTH,Calrossy Anglican School,Tamworth Public School,Oxley Vale Public School,Tamworth South Public School,Hillvue Public School,Peel High School,St Nicholas' Primary School,Liberty College,Carinya Christian School Tamworth,Calrossy Anglican School - Brisbane St Campus,Calrossy Anglican School - Gloria Thew House Campus,Calrossy Anglican School - Simpson House Campus,Calrossy Anglican School - Tangara Campus,,,,,,,,,,,
TUNCURRY,Great Lakes College Senior Campus,Tuncurry Public School,Great Lakes College Tuncurry Campus,Alesco Senior College - Coast Campus,,,,,,,,,,,,,,,,,,,,
OATLEY,Georges River College Oatley Senior Campus,Oatley Public School,Oatley West Public School,St Joseph's Catholic Primary School,,,,,,,,,,,,,,,,,,,,
SOUTH GRAFTON,Induna School,South Grafton Public School,Gillwinga Public School,South Grafton High School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,
AVALON BEACH,Barrenjoey Montessori School,Avalon Public School,Barrenjoey High School,Maria Regina Catholic Primary School,,,,,,,,,,,,,,,,,,,,
RANDWICK,Centennial Park School,NSW School of Languages,Sydney Childrens Hospital School,Rainbow Street Public School,Randwick Public School,Randwick Boys High School,Randwick Girls High School,Our Lady of the Sacred Heart Catholic Primary School,Brigidine College Randwick,Marcellin College,The Joseph Varga School,Claremont College,Emanuel School,Coogee Boys' Preparatory School,,,,,,,,,,
DUBBO,Dubbo College Senior Campus,Lincoln School,Wambangalang Environmental Education Centre,Dubbo Public School,Dubbo North Public School,Dubbo South Public School,Dubbo West Public School,Orana Heights Public School,Dubbo School of Distance Education,Buninyong Public School,Mian School,Dubbo College South Campus,St John's Catholic Primary School,St Pius X Catholic Primary School,St Mary's Catholic Primary School,St Laurence's Catholic Primary School,St Johns College,Dubbo Christian School,Macquarie Anglican Grammar School,Burrabadine Cornerstone Christian School,Western College ALESCO Learning Centre,"Western College ALESCO Learning Centre, White Street Campus",,
WAKEFIELD,Wakefield School,,,,,,,,,,,,,,,,,,,,,,,
FAIRFIELD EAST,Verona School,Villawood North Public School,,,,,,,,,,,,,,,,,,,,,,
WESTMEAD,Palm Avenue School,The Childrens Hospital School,Westmead Public School,Redbank School,Sacred Heart Primary School,Catherine McAuley Westmead,Parramatta Marist High School,Westmead Christian Grammar School,Mother Teresa Primary School,,,,,,,,,,,,,,,
SYDNEY,Oxford College - Sydney,Holmes Secondary College,Fort Street Public School,Conservatorium High School,St Mary's Cathedral College,St Andrew's Cathedral School,Macquarie Grammar School,St Andrew's Cathedral Gawura School,Australian International High School,St Andrew's Cathedral School - Bishop Barry Senior College,,,,,,,,,,,,,,
CASTLECRAG,Castlecrag Montessori School,"Glenaeon Rudolf Steiner School, Castlecrag",,,,,,,,,,,,,,,,,,,,,,
YAGOONA,Al Sadiq College Yagoona Campus,Yagoona Public School,Christ the King Catholic School Bass Hill,,,,,,,,,,,,,,,,,,,,,
WARNERVALE,Lakes Grammar - An Anglican School,MacKillop Catholic College,,,,,,,,,,,,,,,,,,,,,,
COOKS HILL,Alesco Senior College,"Newcastle Grammar School, Park Campus",,,,,,,,,,,,,,,,,,,,,,
MANLY,Royal Far West School,Manly Village Public School,St Mary's Catholic Primary School,St Paul's Catholic College,Stella Maris College,Stella Maris College - Benedict Campus,Headland Montessori Elc,,,,,,,,,,,,,,,,,
CURL CURL,Stewart House School,,,,,,,,,,,,,,,,,,,,,,,
GULGONG,Red Hill Environmental Education Centre,Gulgong Public School,Gulgong High School,All Hallows Catholic Primary School,,,,,,,,,,,,,,,,,,,,
ARMIDALE,Thalgarrah Environmental Education Centre,Armidale City Public School,Drummond Memorial Public School,Ben Venue Public School,Kellys Plains Public School,Martins Gully Public School,Newling Public School,Sandon Public School,Armidale High School,Duval High School,St Mary's Primary School,O'Connor Catholic College,Minimbah Primary School,The Armidale Waldorf School,"M.E.T. School, Armidale campus",The Armidale School,New England Girls' School,PLC Armidale,"The Armidale School, Peter Hall Trade Training in Schools Centre",,,,,
DUDLEY,Awabakal Environmental Education Centre,Dudley Public School,,,,,,,,,,,,,,,,,,,,,,
KURNELL,Botany Bay Environmental Education Centre,Kurnell Public School,,,,,,,,,,,,,,,,,,,,,,
KALARU,Bournda Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
SACKVILLE NORTH,Brewongle Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
MENANGLE,Camden Park Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
CASCADE,Cascade Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
DORROUGHBY,Dorroughby Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
CHIPPING NORTON,Georges River Environmental Education Centre,Chipping Norton Public School,,,,,,,,,,,,,,,,,,,,,,
BOBBIN HEAD,Gibberagong Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
DUNMORE,Illawarra Environmental Education Centre,Shellharbour Anglican College,,,,,,,,,,,,,,,,,,,,,,
MARAYLYA,Longneck Lagoon Environmental Education Centre,Maraylya Public School,,,,,,,,,,,,,,,,,,,,,,
MILLERS POINT,Observatory Hill Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
CRANEBROOK,Penrith Lakes Environmental Education Centre,Braddock Public School,Samuel Terry Public School,Henry Fulton Public School,Cranebrook High School,Corpus Christi Primary School,St Paul's Grammar School,,,,,,,,,,,,,,,,,
AUDLEY,Royal National Park Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
GOSFORD,Rumbalara Environmental Education Centre,Somersby Public School,Gosford High School,Henry Kendall High School,ET Australia Secondary College,,,,,,,,,,,,,,,,,,,
