WARAKURNA,Ngaanyatjarra Lands School,,,,,,,,,,,,,,
DARKAN,Darkan Primary School,,,,,,,,,,,,,,
SUBIACO,School of Special Education Needs - Medical and Mental Health,Perth Modern School,Subiaco Primary School,,,,,,,,,,,,
COOLBINIA,Sir David Brand School,Coolbinia Primary School,,,,,,,,,,,,,
YANGEBUP,Divine Mercy College,Yangebup Primary School,Mater Christi Catholic Primary School,,,,,,,,,,,,
WILSON,Rehoboth Christian College - Wilson Campus,Wilson Primary School,,,,,,,,,,,,,
ATTADALE,Attadale Primary School,Santa Maria College,Mel Maria Catholic Primary School,,,,,,,,,,,,
AUGUSTA,Augusta Primary School,,,,,,,,,,,,,,
BABAKIN,Babakin Primary School,,,,,,,,,,,,,,
BADGINGARRA,Badgingarra Primary School,,,,,,,,,,,,,,
BAKERS HILL,Bakers Hill Primary School,,,,,,,,,,,,,,
BALDIVIS,Baldivis Primary School,Settlers Primary School,Rockingham John Calvin School,Tranby College,Makybe Rise Primary School,Baldivis Secondary College,Mother Teresa Catholic School,Tuart Rise Primary School,Baldivis Gardens Primary School,Rivergums Primary School,,,,,
BALINGUP,Balingup Primary School,,,,,,,,,,,,,,
BAYSWATER,Bayswater Primary School,Hillcrest Primary School,Durham Road School,St Columba's School,,,,,,,,,,,
BEACON,Beacon Primary School,,,,,,,,,,,,,,
BENCUBBIN,Bencubbin Primary School,,,,,,,,,,,,,,
BICTON,Bicton Primary School,,,,,,,,,,,,,,
BINDOON,Bindoon Primary School,Catholic Agricultural College,,,,,,,,,,,,,
BINNU,Binnu Primary School,,,,,,,,,,,,,,
BLUFF POINT,Bluff Point Primary School,Meekatharra School Of The Air,,,,,,,,,,,,,
BOLGART,Bolgart Primary School,,,,,,,,,,,,,,
BOORAGOON,Booragoon Primary School,,,,,,,,,,,,,,
BORDEN,Borden Primary School,,,,,,,,,,,,,,
BOULDER,Boulder Primary School,Kalgoorlie School Of The Air,O'Connor Education Support Centre,St Joseph's School,SMYL Community College - Moran Street Campus,,,,,,,,,,
BOYANUP,Boyanup Primary School,Child Side School,,,,,,,,,,,,,
BREMER BAY,Bremer Bay Primary School,,,,,,,,,,,,,,
BRENTWOOD,Brentwood Primary School,,,,,,,,,,,,,,
BROOMEHILL,Broomehill Primary School,,,,,,,,,,,,,,
BRUNSWICK JUNCTION,Brunswick Junction Primary School,,,,,,,,,,,,,,
EAST BUNBURY,Cooinda Primary School,,,,,,,,,,,,,,
BUREKUP,River Valley Primary School,,,,,,,,,,,,,,
BYFORD,Byford Primary School,Marri Grove Primary School,Byford John Calvin School,West Byford Primary School,Byford Secondary College,Salvado Catholic College,Woodland Grove Primary School,,,,,,,,
CADOUX,Cadoux Primary School,,,,,,,,,,,,,,
CALINGIRI,Calingiri Primary School,,,,,,,,,,,,,,
CALISTA,Calista Primary School,Kwinana Christian School,Peter Carnley Anglican Community School - Calista Campus,,,,,,,,,,,,
BECKENHAM,Beckenham Primary School,,,,,,,,,,,,,,
CAPEL,Capel Primary School,,,,,,,,,,,,,,
CAREY PARK,Carey Park Primary School,,,,,,,,,,,,,,
KEWDALE,Carlisle Primary School,Kewdale Primary School,Australian Islamic College (Kewdale),,,,,,,,,,,,
WEST SWAN,Caversham Primary School,,,,,,,,,,,,,,
NABAWA,Chapman Valley Primary School,,,,,,,,,,,,,,
DJUGERARI COMMUNITY,Djugerari Remote Community School,,,,,,,,,,,,,,
CHIDLOW,Chidlow Primary School,,,,,,,,,,,,,,
CHRISTMAS CREEK,Wangkatjungka Remote Community School,,,,,,,,,,,,,,
CITY BEACH,City Beach Primary School,Kapinara Primary School,Holy Spirit School,The Japanese School in Perth,International School of Western Australia,,,,,,,,,,
CLAREMONT,Freshwater Bay Primary School,St Thomas' Primary School,Christ Church Grammar School,Methodist Ladies' College,Taylors College,,,,,,,,,,
CONDINGUP,Condingup Primary School,,,,,,,,,,,,,,
COOGEE,Coogee Primary School,,,,,,,,,,,,,,
BEELIAR,South Coogee Primary School,Beeliar Primary School,,,,,,,,,,,,,
COOLGARDIE,Coolgardie Primary School,Christian Aboriginal Parent-Directed School,,,,,,,,,,,,,
COOROW,Coorow Primary School,,,,,,,,,,,,,,
PEPPERMINT GROVE,Cottesloe Primary School,Presbyterian Ladies' College,,,,,,,,,,,,,
COTTESLOE,North Cottesloe Primary School,,,,,,,,,,,,,,
COWARAMUP,Cowaramup Primary School,,,,,,,,,,,,,,
CRANBROOK,Cranbrook Primary School,,,,,,,,,,,,,,
CUE,Cue Primary School,,,,,,,,,,,,,,
DALKEITH,Dalkeith Primary School,,,,,,,,,,,,,,
DAMPIER,Dampier Primary School,,,,,,,,,,,,,,
NORTH DANDALUP,North Dandalup Primary School,,,,,,,,,,,,,,
DANDARAGAN,Dandaragan Primary School,,,,,,,,,,,,,,
DARDANUP,Dardanup Primary School,Our Lady of Lourdes School,,,,,,,,,,,,,
DARLINGTON,Darlington Primary School,Helena College,Treetops Montessori School,,,,,,,,,,,,
DOUBLEVIEW,Doubleview Primary School,Holy Rosary School,,,,,,,,,,,,,
DUNSBOROUGH,Dunsborough Primary School,Our Lady of the Cape Primary School,Cornerstone Christian College,,,,,,,,,,,,
