DARLING SOUTH,The Currajong School,,,,,,,,,,,,,,,,,,,,,,
NEWPORT,Newport Lakes Primary School,Sacred Heart School,Westbourne Grammar School,Bayside P-12 College-Paisley Campus,Newport Gardens Primary School,,,,,,,,,,,,,,,,,,
CAVENDISH,Cavendish Primary School,,,,,,,,,,,,,,,,,,,,,,
COLAC,Colac Primary School,Colac West Primary School,Colac South West Primary School,Colac Specialist School,Colac Secondary College,Trinity College Colac Inc,St Mary's School,Colac Secondary College Murray Street Campus,Lavers Hill P-12 College-Turning Point Campus,,,,,,,,,,,,,,
CASTLEMAINE,Castlemaine Primary School,Winters Flat Primary School,Castlemaine North Primary School,Castlemaine Secondary College,Castlemaine Secondary College-Junior Campus,St Mary's School,,,,,,,,,,,,,,,,,
CAMPBELLS CREEK,Campbells Creek Primary School,Olivet Christian College,,,,,,,,,,,,,,,,,,,,,
CRESWICK,Creswick Primary School,Creswick North Primary School,St Augustine's School,,,,,,,,,,,,,,,,,,,,
CALIFORNIA GULLY,California Gully Primary School,,,,,,,,,,,,,,,,,,,,,,
ST ANDREWS,St Andrews Primary School,,,,,,,,,,,,,,,,,,,,,,
DROMANA,Dromana Primary School,Peninsula Specialist College,Dromana Secondary College,,,,,,,,,,,,,,,,,,,,
DONCASTER,Doncaster Primary School,Birralee Primary School,Doncaster Secondary College,St Gregory the Great School,,,,,,,,,,,,,,,,,,,
ELTHAM,Eltham Primary School,Eltham East Primary School,Eltham High School,Catholic Ladies' College Ltd,Our Lady Help of Christians School,Eltham College,Yea High School-Eltham Birribi,,,,,,,,,,,,,,,,
EAGLEHAWK,Eaglehawk Primary School,Eaglehawk North Primary School,Eaglehawk Secondary College,St Liborius' School,,,,,,,,,,,,,,,,,,,
ELPHINSTONE,Elphinstone Primary School,,,,,,,,,,,,,,,,,,,,,,
FLEMINGTON,Flemington Primary School,Debney Meadows Primary School,Mount Alexander 7-12 College,St Brendan's School,University High School-Elizabeth Blackburn School of Sciences,,,,,,,,,,,,,,,,,,
FOOTSCRAY,Footscray Primary School,Footscray City Primary School,Footscray North Primary School,Gilmore College For Girls,Footscray City College,St Monica's School,St John's School,Western English Language School-Footscray Campus,SEDA College (Victoria) - Cricket Australia - Footscray,,,,,,,,,,,,,,
GISBORNE,Gisborne Primary School,Gisborne Secondary College,St Brigid's School,,,,,,,,,,,,,,,,,,,,
GUILDFORD,Guildford Primary School,,,,,,,,,,,,,,,,,,,,,,
WANDILIGONG,Wandiligong Primary School,,,,,,,,,,,,,,,,,,,,,,
GROVEDALE,Grovedale Primary School,Grovedale West Primary School,Mandama Primary School,Grovedale College,Nazareth School,Grovedale West Primary School-Grovedale West Deaf Facility,,,,,,,,,,,,,,,,,
HEIDELBERG,Heidelberg Primary School,St John's School,Our Lady of Mercy College,Austin Hospital School,,,,,,,,,,,,,,,,,,,
HAMILTON,Hamilton (Gray Street) Primary School,Hamilton North Primary School,George Street Primary School - Hamilton,Hamilton Parklands School,Baimbridge College,St Mary's School,Monivae College,The Hamilton and Alexandra College,The Hamilton and Alexandra College - Junior Campus,Good Shepherd College,Good Shepherd College - Second Campus,Glenvale School - Hamilton Campus,,,,,,,,,,,
HEATHCOTE,Heathcote Primary School,Holy Rosary School,,,,,,,,,,,,,,,,,,,,,
HIGHTON,Highton Primary School,Bellaire Primary School,Montpellier Primary School,Christian College Highton,,,,,,,,,,,,,,,,,,,
HUNTLY,Huntly Primary School,,,,,,,,,,,,,,,,,,,,,,
BELLBRAE,Bellbrae Primary School,,,,,,,,,,,,,,,,,,,,,,
CHILTERN,Chiltern Primary School,St Joseph's School,,,,,,,,,,,,,,,,,,,,,
KYNETON,Kyneton Primary School,Kyneton Secondary College,Sacred Heart College,Our Lady of the Rosary,Kyneton Secondary College-Macedon Ranges Satellite VCAL,,,,,,,,,,,,,,,,,,
ROMSEY,Romsey Primary School,Alice Miller School - Candlebark Campus,,,,,,,,,,,,,,,,,,,,,
SHELFORD,Shelford Primary School,,,,,,,,,,,,,,,,,,,,,,
LOCKWOOD SOUTH,Lockwood South Primary School,,,,,,,,,,,,,,,,,,,,,,
MARONG,Marong Primary School,,,,,,,,,,,,,,,,,,,,,,
MOUNT MACEDON,Mount Macedon Primary School,,,,,,,,,,,,,,,,,,,,,,
MOUNT CLEAR,Mount Clear Primary School,Mount Clear College,Damascus College,Emmaus Catholic Primary School,,,,,,,,,,,,,,,,,,,
MELTON,Melton Primary School,Melton West Primary School,Melton Specialist School,Kurunjang Primary School,Melton Secondary College,Kurunjang Secondary College,St Dominic's School,Glenvale School - Melton Centre,,,,,,,,,,,,,,,
FITZROY,Fitzroy Primary School,Academy of Mary Immaculate,Sacred Heart School,The David Scott School,The David Scott School - High Street Campus,,,,,,,,,,,,,,,,,,
NEWSTEAD,Newstead Primary School,,,,,,,,,,,,,,,,,,,,,,
NEWLYN,Newlyn Primary School,,,,,,,,,,,,,,,,,,,,,,
NEW GISBORNE,New Gisborne Primary School,Holy Cross Primary School,Gisborne Montessori School,,,,,,,,,,,,,,,,,,,,
BEEAC,Beeac Primary School,,,,,,,,,,,,,,,,,,,,,,
MYRNIONG,Myrniong Primary School,,,,,,,,,,,,,,,,,,,,,,
MERNDA,Mernda Primary School,St Joseph's School,Ivanhoe Grammar School - Plenty Campus,Gilson College - Mernda Campus,Mernda Park Primary School,Mernda Central P-12 College,,,,,,,,,,,,,,,,,
PORTLAND,Portland Primary School,Portland South Primary School,Bundarra Primary School,Portland Bay School,Portland Secondary College,All Saints Parish School,Bayview College,St John's Lutheran School,Portland Secondary College-Victoria Parade Campus,,,,,,,,,,,,,,
RUTHERGLEN,Rutherglen Primary School,Rutherglen High School,St Mary's School,,,,,,,,,,,,,,,,,,,,
RIDDELLS CREEK,Riddells Creek Primary School,,,,,,,,,,,,,,,,,,,,,,
ROKEWOOD,Rokewood Primary School,,,,,,,,,,,,,,,,,,,,,,
EAST GEELONG,Geelong East Primary School,Tate Street Primary School Geelong,Geelong High School,St Margaret's School,,,,,,,,,,,,,,,,,,,
SKIPTON,Skipton Primary School,,,,,,,,,,,,,,,,,,,,,,
STRATFORD,Stratford Primary School,St Patrick's School,,,,,,,,,,,,,,,,,,,,,
TARADALE,Taradale Primary School,,,,,,,,,,,,,,,,,,,,,,
KOROIT,Koroit And District Primary School,St Patrick's School,,,,,,,,,,,,,,,,,,,,,
TYLDEN,Tylden Primary School,,,,,,,,,,,,,,,,,,,,,,
THOMASTOWN,Thomastown Primary School,Thomastown East Primary School,Lalor East Primary School,Thomastown West Primary School,Thomastown Meadows Primary School,Thomastown Secondary College,St John XXIII Primary School,St Clare's School,Baltara School,Baltara School Maribyrnong Secure Welfare Campus,,,,,,,,,,,,,
WANGARATTA,Wangaratta Primary School,Wangaratta West Primary School,Yarrunga Primary School,Appin Park Primary School,Wangaratta District Specialist School,Wangaratta High School,St Patrick's School,Our Lady's School,St Bernard's School,Galen Catholic College,"Borinya, Wangaratta Community Partnership",Cathedral College Wangaratta,Cathedral College Wangaratta - The Close Campus,,,,,,,,,,
WAHGUNYAH,Wahgunyah Primary School,,,,,,,,,,,,,,,,,,,,,,
WOODEND,Woodend Primary School,St Ambrose's School,Braemar College,,,,,,,,,,,,,,,,,,,,
WOODFORD,Woodford Primary School,,,,,,,,,,,,,,,,,,,,,,
WERRIBEE,Werribee Primary School,Manorvale Primary School,Thomas Chirnside Primary School,Westgrove Primary School,Wyndham Central Secondary College,Werribee Secondary College,St Andrew's School,MacKillop Catholic Regional College,Corpus Christi School,Bethany Catholic Primary School,Heathdale Christian College,Suzanne Cory High School,Wyndham Park Primary School,Western English Language School-Wyndham Secondary Campus,SEDA College (Victoria) - AFL - Werribee,,,,,,,,
