HAMLEY BRIDGE,Hamley Bridge Primary School,,,,,,,,,,,,,,,,
ROSE PARK,Rose Park Primary School,,,,,,,,,,,,,,,,
HAPPY VALLEY,Happy Valley Primary School,Braeview School R-7,,,,,,,,,,,,,,,
HAWKER,Hawker Area School,,,,,,,,,,,,,,,,
HEATHFIELD,Heathfield Primary School,Heathfield High School,,,,,,,,,,,,,,,
HENLEY BEACH SOUTH,Henley Beach Primary School,,,,,,,,,,,,,,,,
NORTH ADELAIDE,North Adelaide Primary School,St Dominic's Priory College,,,,,,,,,,,,,,,
JERVOIS,Jervois Primary School,,,,,,,,,,,,,,,,
KALANGADOO,Kalangadoo Primary School,,,,,,,,,,,,,,,,
KANGARILLA,Kangarilla Primary School,,,,,,,,,,,,,,,,
KAPUNDA,Kapunda Primary School,Kapunda High School,,,,,,,,,,,,,,,
QUEENSTOWN,Alberton Primary School,St Joseph's Catholic School,Mountain Heights School,,,,,,,,,,,,,,
KERSBROOK,Kersbrook Primary School,,,,,,,,,,,,,,,,
KEYNETON,Keyneton Primary School,,,,,,,,,,,,,,,,
WEST CROYDON,Kilkenny Primary School,Adelaide Secondary School of English,,,,,,,,,,,,,,,
KINGSTON ON MURRAY,Kingston-on-Murray Primary School,,,,,,,,,,,,,,,,
ALDGATE,Aldgate Primary School,The Hills Montessori School - Yultiwirra Campus,The Hills Montessori School - Wairoa Campus,,,,,,,,,,,,,,
KONGORONG,Kongorong Primary School,,,,,,,,,,,,,,,,
KOOLUNGA,Koolunga Primary School,,,,,,,,,,,,,,,,
LANGHORNE CREEK,Eastern Fleurieu R-12 School - Langhorne Creek R-6 Campus,,,,,,,,,,,,,,,,
LARGS BAY,Largs Bay School,,,,,,,,,,,,,,,,
LAURA,Laura Primary School,,,,,,,,,,,,,,,,
BIRKENHEAD,Le Fevre Peninsula Primary School,,,,,,,,,,,,,,,,
ALDINGA,Aldinga Beach B-7 School,Galilee Catholic School,,,,,,,,,,,,,,,
LIGHT PASS,Light Pass Primary School,,,,,,,,,,,,,,,,
LITTLEHAMPTON,Littlehampton Primary School,,,,,,,,,,,,,,,,
LOBETHAL,Lobethal Primary School,Lobethal Lutheran School,,,,,,,,,,,,,,,
LOCK,Lock Area School,,,,,,,,,,,,,,,,
BROOKLYN PARK,Lockleys Primary School,St John Bosco School,,,,,,,,,,,,,,,
LYNDOCH,Lyndoch Primary School,St Jakobi Lutheran School,,,,,,,,,,,,,,,
MACCLESFIELD,Macclesfield Primary School,,,,,,,,,,,,,,,,
MALLALA,Mallala Primary School,,,,,,,,,,,,,,,,
ANGASTON,Angaston Primary School,Good Shepherd Lutheran School,,,,,,,,,,,,,,,
MANOORA,Manoora Primary School,,,,,,,,,,,,,,,,
MARREE,Marree Aboriginal School,,,,,,,,,,,,,,,,
MCLAREN FLAT,McLaren Flat Primary School,,,,,,,,,,,,,,,,
MCLAREN VALE,McLaren Vale Primary School,Tatachilla Lutheran College,,,,,,,,,,,,,,,
MEADOWS,Meadows Primary School,,,,,,,,,,,,,,,,
MELROSE,Melrose Primary School,,,,,,,,,,,,,,,,
ANGLE VALE,Angle Vale Primary School,Trinity College Gawler River,,,,,,,,,,,,,,,
MILANG,Eastern Fleurieu R-12 School - Milang R-6 Campus,,,,,,,,,,,,,,,,
MIL-LEL,Mil Lel Primary School,,,,,,,,,,,,,,,,
KINGSWOOD,Mitcham Primary School,Mitcham Girls High School,St Joseph's School,,,,,,,,,,,,,,
MODBURY NORTH,Modbury School Preschool to Year 7,,,,,,,,,,,,,,,,
MONASH,Monash Primary School,,,,,,,,,,,,,,,,
MOORAK,Moorak Primary School,,,,,,,,,,,,,,,,
MOOROOK,Moorook Primary School,,,,,,,,,,,,,,,,
MORGAN,Morgan Primary School,,,,,,,,,,,,,,,,
MOUNT BARKER,Mount Barker Primary School,Mount Barker High School,Mount Barker South Primary School,St Francis de Sales College,Cornerstone College,Mount Barker Waldorf School,St Mark's Lutheran School,,,,,,,,,,
MOUNT BURR,Mount Burr Primary School,,,,,,,,,,,,,,,,
MOUNT COMPASS,Mount Compass Area School,,,,,,,,,,,,,,,,
MOUNT PLEASANT,Mount Pleasant Primary School,,,,,,,,,,,,,,,,
MUNDULLA,Mundulla Primary School,,,,,,,,,,,,,,,,
MYLOR,Mylor Primary School,,,,,,,,,,,,,,,,
MYPOLONGA,Mypolonga Primary School,,,,,,,,,,,,,,,,
MYPONGA,Myponga Primary School,,,,,,,,,,,,,,,,
NAILSWORTH,Nailsworth Primary School,,,,,,,,,,,,,,,,
NAIRNE,Nairne Primary School,,,,,,,,,,,,,,,,
NAPPERBY,Napperby Primary School,,,,,,,,,,,,,,,,
NARACOORTE,Naracoorte Primary School,Naracoorte High School,Naracoorte South Primary School,Sunrise Christian School - Naracoorte Campus,,,,,,,,,,,,,
OLD NOARLUNGA,Old Noarlunga Primary School,,,,,,,,,,,,,,,,
NORTHFIELD,Northfield Primary School,Roma Mitchell Secondary College - Hampstead Road Co-Ed Campus,,,,,,,,,,,,,,,
NORTON SUMMIT,Norton Summit Primary School,,,,,,,,,,,,,,,,
NURIOOTPA,Nuriootpa Primary School,Nuriootpa High School,Redeemer Lutheran School,,,,,,,,,,,,,,
ONE TREE HILL,One Tree Hill Primary School,,,,,,,,,,,,,,,,
MORPHETT VALE,Coorara Primary School,Wirreanda Secondary School,Pimpala Primary School,Flaxmill School P-7,Morphett Vale East School R-7,Antonio Catholic School,Calvary Lutheran Primary School,Woodcroft College,Sunrise Christian School - Morphett Vale Campus,Prescott College Southern,Southern Vales Christian College - Morphett Vale Campus,Morphett Vale Primary School,,,,,
OODNADATTA,Oodnadatta Aboriginal School,,,,,,,,,,,,,,,,
OWEN,Owen Primary School,,,,,,,,,,,,,,,,
PALMER,Palmer Primary School,,,,,,,,,,,,,,,,
PARACOMBE,Paracombe Primary School,,,,,,,,,,,,,,,,
PARKSIDE,Parkside Primary School,St Raphael's School,,,,,,,,,,,,,,,
PENNINGTON,Pennington School R-7,Our Lady of Mount Carmel Parish School,,,,,,,,,,,,,,,
PENONG,Penong Primary School,,,,,,,,,,,,,,,,
PETERBOROUGH,Peterborough Primary School,Peterborough High School,St Joseph's School,,,,,,,,,,,,,,
PARK HOLME,Ascot Park Primary School,SA School for Vision Impaired,Kilparrin Teaching and Assessment School and Services,Dara Village School,,,,,,,,,,,,,
ASHBOURNE,Eastern Fleurieu R-12 School - Ashbourne R-6 Campus,,,,,,,,,,,,,,,,
PLYMPTON,Plympton Primary School,Plympton International College,Errington Special Education Centre,St John the Baptist Catholic School,,,,,,,,,,,,,
POONINDIE,Poonindie Community Learning Centre,,,,,,,,,,,,,,,,
POORAKA,Pooraka Primary School,,,,,,,,,,,,,,,,
PORT AUGUSTA WEST,Port Augusta West Primary School,Flinders View Primary School,Caritas College,,,,,,,,,,,,,,
PORT ELLIOT,Port Elliot Primary School,,,,,,,,,,,,,,,,
PORT NOARLUNGA,Port Noarlunga Primary School,,,,,,,,,,,,,,,,
PORT WAKEFIELD,Port Wakefield Primary School,,,,,,,,,,,,,,,,
